,T_param,k1,k2,r,k0,AB_MSfrac,BE_MSfrac,Q10,T_ref
CHNO3,18.3718818248409,7.710288186508863,0.003303640809958281,4.4080226516084915,0.14385928034746123,0.8499999999999998,0.2486698574777711,1.6094379124341003,21.18089507799236
COL,22.52029108519141,0.1808167137504762,0.007363713455978714,1.7290597946491257,0.17471149350655396,0.85,0.39764992068356053,1.6094379124341003,21.22758475948862
CREC3,16.500941822466046,6.3950168800508544,0.003335694923472304,0.7923801831756424,0.054408618804224346,0.15,0.27178323847260605,0.6888601846173588,30.0
FEU,23.840001072048636,0.1561995374942527,0.007772601312245323,1.8363728283657788,0.14756678275137497,0.8499999999999999,0.48283016379742416,1.6094379124341003,21.466232724301403
LAJA2,22.970452069759098,1.6639524274265662,0.004886528455840601,5.206471185762697,0.2138467057043056,0.8499999999999999,0.6438498700558551,1.6094379124341003,21.437137825874736
RHEU1,19.78729112179427,0.026061737326264753,0.02605994101665266,2.8138123007359126,0.15072390093284765,0.85,0.42028600683036466,1.6094379124341003,21.222998520928805
RHEU2,18.40679220907599,18.811179188441578,0.002669985235842803,9.99957865819594,0.21353803029406906,0.85,0.24193359184406515,1.6094379124341003,21.242041848053596
ARAZ,15.070198984947993,0.024813957922818184,0.02479843982798072,0.646804608736666,0.030000000036786795,0.15,0.15000000000000452,1.6094379124341003,22.7625056021683
ULTU,23.971716276131716,3.659532351036169,0.00510094372667027,1.9201873920003352,0.22413208855169517,0.8499999999999988,0.5011014209782583,1.585195767728226,19.819989955983576
BROAD,14.571339972345873,3.2307092193346243,0.0019576639046623803,1.4122289044012128,0.03000000018799029,0.15000000275160263,0.1500000014153844,0.9800151791174978,30.0
TREV1,13.982522943027684,7.3363173533057315,0.0018283519376615012,4.875277467808786,0.08050329197280705,0.15000000000000258,0.15,1.6094379124341003,23.01678373250305
AVRI,19.067860139191428,9.582147402762807,0.0035126088302419715,5.244699056998943,0.1237357708244271,0.3927317369898197,0.3927317369898197,1.4645073025373971,21.8936678261814
BOLO,29.035696952984246,0.10723767245657827,0.09446033871441366,0.8324731001246557,0.20875827071849193,0.8499999999990979,0.85,0.7305129796335563,22.889597241418873
GRABOW,29.27822988981775,4.927397163869539,0.009756433247947465,2.074448220478439,0.35788917349471894,0.85,0.85,0.7610814882380955,23.649877320393077
MUNCHE,18.573807207313443,0.052349205918588985,0.0043695291389745814,1.8278499062881586,0.14748797370804526,0.15,0.1500000000000175,0.6697142281749958,30.0
RITZ,18.72312442393406,0.20118226813383094,0.006943562702269684,0.6259979265139881,0.033020428476746314,0.4542383145969353,0.85,0.6235902795675847,30.0
